Id,,Ship Date,Deliv Date,Trailer Number,Equipment,UPPER([Driver]),UPPER([Truck Number]),Cons City,Cons State,Con Zip,Ship City,Ship State,Ship Zip,Max. Miles,Max. Total Carr Adj,Max. Total Cust Rate
1405267,#REF!,2/12/18 0:00,2/15/18 0:00,ETA TBD,40FT CONTAINER,COSCO,IMPORT,JACKSON,MO,63755,MEMPHIS,TN,38109,185,"$1,300.00","$1,800.00"
1405268,#REF!,2/12/18 0:00,2/14/18 0:00,ETA TBD,40FT CONTAINER,COSCO,IMPORT,JACKSON,MO,63755,MEMPHIS,TN,38109,185,"$1,600.00","$2,100.00"
1405269,#REF!,2/12/18 0:00,2/15/18 0:00,ETA TBD,40FT CONTAINER,COSCO,IMPORT,JACKSON,MO,63755,MEMPHIS,TN,38109,185,"$1,300.00","$1,800.00"
1405270,#REF!,2/12/18 0:00,2/15/18 0:00,ETA TBD,40FT CONTAINER,COSCO,IMPORT,JACKSON,MO,63755,MEMPHIS,TN,38109,185,"$1,500.00","$2,000.00"
1405271,#REF!,2/12/18 0:00,2/14/18 0:00,ETA TBD,40FT CONTAINER,COSCO,IMPORT,JACKSON,MO,63755,MEMPHIS,TN,38109,185,"$1,500.00","$2,000.00"
1405273,#REF!,2/12/18 0:00,2/15/18 0:00,ETA 1/19,20FT CONTAINER,COSCO,IMPORT,JACKSON,MO,63755,MEMPHIS,TN,38109,185,"$1,200.00","$1,600.00"
1407395,#REF!,2/5/18 0:00,2/5/18 0:00,LFD 12/11,20FT CONTAINER,COSCO,IMPORT,AURORA,CO,80011,DENVER,CO,TBD,0,"$3,300.00","$3,300.00"
1407485,#REF!,1/2/18 0:00,1/2/18 0:00,LFD 12/29,40 STD,K LINE,IMPORT,DELAVAN,WI,53115,JOLIET,IL,60436,112,"$2,000.00","$2,200.00"
1408713,#REF!,1/10/18 0:00,1/11/18 0:00,CUT 1/13,40 STD,COSCO,EXPORT,RAYMONDVILLE,MO,65555,ST LOUIS,MO,63147,158,"$1,600.00","$1,800.00"
1408714,#REF!,1/10/18 0:00,1/12/18 0:00,CUT 1/13,40 STD,COSCO,EXPORT,RAYMONDVILLE,MO,65555,ST. LOUIS,MO,63147,158,"$1,800.00","$2,000.00"
1408780,#REF!,1/25/18 0:00,1/29/18 0:00,CUT 1/30,40 STD,APL,EXPORT,WESTERN GROVE,AR,72685,MEMPHIS,TN,38109,260,"$2,000.00","$2,000.00"
1408919,#REF!,1/3/18 0:00,1/18/18 0:00,ETA 1/6,40FT CONTAINER,OOCL,IMPORT,HANOVER PARK,IL,60133,ELWOOD,IL,60421,49,"$1,400.00","$1,600.00"
1409875,#REF!,1/9/18 0:00,1/18/18 0:00,LFD 1/16,40 HC,NYK,IMPORT,NEWNAN,GA,30265,GARDEN CITY,GA,31408,251,"$2,500.00","$2,800.00"
1410435,#REF!,1/10/18 0:00,1/19/18 0:00,eta 1/10,20 STD,CMA,IMPORT,VISALIA,CA,93291,SAN PEDRO,CA,90731,211,"$1,700.00","$1,900.00"
1410950,#REF!,1/2/18 0:00,1/2/18 0:00,LFD 12/17,40FT CONTAINER,HAPAG LLOYD,IMPORT,VALPARAISO,IN,46383,MINNEAPOLIS,MN,55418,470,"$4,800.00","$5,400.00"
1411006,#REF!,1/9/18 0:00,1/25/18 0:00,CUT 1/11,20FT CONTAINER,CMA CGM,EXPORT,NEWARK,NJ,7114,NEW BRITAIN,CT,6052,122,"$1,500.00","$1,800.00"
1411065,#REF!,1/9/18 0:00,1/24/18 0:00,CUT 1/11,40 HC,CMA,EXPORT,NEWARK,NJ,7114,NEW BRITAIN,CT,6052,122,"$1,500.00","$1,800.00"
1411165,#REF!,1/1/18 0:00,1/4/18 0:00,ETA 12/31,20FT CONTAINER,MSC,IMPORT,PASADENA,TX,77507,HOUSTON,TX,77052,29,$900.00,"$1,000.00"
1411174,#REF!,1/1/18 0:00,1/4/18 0:00,ETA 12/31,20FT CONTAINER,MSC,IMPORT,PASADENA,TX,77507,HOUSTON,TX,77052,29,$900.00,"$1,000.00"
1411175,#REF!,1/1/18 0:00,1/4/18 0:00,ETA 12/31,20FT CONTAINER,MSC,IMPORT,PASADENA,TX,77507,HOUSTON,TX,77052,29,$900.00,"$1,000.00"
1411176,#REF!,1/1/18 0:00,1/4/18 0:00,ETA 12/31,20FT CONTAINER,MSC,IMPORT,PASADENA,TX,77507,HOUSTON,TX,77052,29,"$1,000.00","$1,100.00"
1411177,#REF!,1/1/18 0:00,1/4/18 0:00,ETA 12/31,20FT CONTAINER,MSC,IMPORT,PASADENA,TX,77507,HOUSTON,TX,77052,29,"$1,100.00","$1,200.00"
1411178,#REF!,1/1/18 0:00,1/4/18 0:00,ETA 12/31,20FT CONTAINER,MSC,IMPORT,PASADENA,TX,77507,HOUSTON,TX,77052,29,$900.00,"$1,000.00"
1411179,#REF!,1/1/18 0:00,1/3/18 0:00,ETA 12/31,20FT CONTAINER,MSC,IMPORT,PASADENA,TX,77507,HOUSTON,TX,77052,29,$900.00,"$1,000.00"
1411180,#REF!,1/1/18 0:00,1/3/18 0:00,ETA 12/31,20FT CONTAINER,MSC,IMPORT,PASADENA,TX,77507,HOUSTON,TX,77052,29,$900.00,"$1,000.00"
1411181,#REF!,1/1/18 0:00,1/3/18 0:00,ETA 12/31,20FT CONTAINER,MSC,IMPORT,PASADENA,TX,77507,HOUSTON,TX,77052,29,$900.00,"$1,000.00"
1411182,#REF!,1/1/18 0:00,1/3/18 0:00,ETA 12/31,20FT CONTAINER,MSC,IMPORT,PASADENA,TX,77507,HOUSTON,TX,77052,29,$900.00,"$1,000.00"
1411183,#REF!,1/1/18 0:00,1/3/18 0:00,ETA 12/31,20FT CONTAINER,MSC,IMPORT,PASADENA,TX,77507,HOUSTON,TX,77052,29,$900.00,"$1,000.00"
1411184,#REF!,1/1/18 0:00,1/3/18 0:00,ETA 12/31,20FT CONTAINER,MSC,IMPORT,PASADENA,TX,77507,HOUSTON,TX,77052,29,"$1,000.00","$1,000.00"
1412726,#REF!,1/30/18 0:00,2/1/18 0:00,ETA 1/30 - CHAD,40FT REEFER,UNKNOWN,IMPORT,MIAMI,FL,33167,FORT LAUDERDALE,FL,33316,21,$500.00,$800.00
1413779,#REF!,1/5/18 0:00,1/8/18 0:00,,20FT CONTAINER,CMA,IMPORT,DALLAS,TX,75244,WILMER,TX,75172,31,$900.00,$900.00
1414395,#REF!,1/4/18 0:00,1/4/18 0:00,LFD 1/4,40 STD,YANG MING,IMPORT,MATTOON,IL,61938,ELWOOD,IL,60421,153,"$1,500.00","$1,600.00"
1414551,#REF!,1/18/18 0:00,1/19/18 0:00,LFD 1/17,20FT CONTAINER,COSCO,IMPORT,DALLAS,TX,75234,DALLAS,TX,TBD,0,$500.00,$700.00
1415583,#REF!,1/26/18 0:00,1/26/18 0:00,LFD 1/12,40 HC,OOCL,IMPORT,JACKSON,MO,63755,MEMPHIS,TN,38109,185,"$1,800.00","$3,200.00"
1416661,#REF!,1/4/18 0:00,1/4/18 0:00,CUT 12/28,20 STD,MSC,EXPORT,OXFORD,OH,45056,CINCINNATI,OH,45201,0,$800.00,"$1,100.00"
1416713,#REF!,1/15/18 0:00,1/22/18 0:00,LFD 1/23,40 HC,NYK,IMPORT,NEWNAN,GA,30265,GARDEN CITY,GA,31408,251,"$1,700.00","$1,900.00"
1416908,#REF!,1/17/18 0:00,1/24/18 0:00,eta 1/17,20 STD,CMA,IMPORT,VISALIA,CA,93291,SAN PEDRO,CA,90731,211,"$1,700.00","$1,900.00"
1417083,#REF!,1/9/18 0:00,1/17/18 0:00,cut 1/19,40 STD,CMA,EXPORT,RAYMONDVILLE,TX,78580,HOUSTON,TX,77013,315,"$2,900.00","$2,600.00"
1417314,#REF!,1/7/18 0:00,1/9/18 0:00,CUT 1/12,40 STD,ZIM,EXPORT,WESTERN GROVE,AR,72685,MEMPHIS,TN,38109,260,"$1,900.00","$1,900.00"
1417470,#REF!,1/1/18 0:00,1/3/18 0:00,LFD 1/1,40FT CONTAINER,COSCO,IMPORT,DICKSON,TN,37055,MEMPHIS,TN,38109,183,"$1,600.00","$1,700.00"
1419976,#REF!,1/4/18 0:00,1/4/18 0:00,ETA 12/18,40 STD,YANG MING,IMPORT,MEQUON,WI,53092,ELWOOD,IL,60421,145,"$1,300.00","$1,400.00"
1419981,#REF!,1/2/18 0:00,1/16/18 0:00,LFD 1/17,20 STD,KLINE,IMPORT,MONESSEN,PA,15062,PITTSBURGH,PA,15233,33,$600.00,$800.00
1420170,#REF!,1/3/18 0:00,1/11/18 0:00,Cut,45FT CONTAINER,K LINE,EXPORT,ST AUGUSTINE,FL,32084,JACKSONVILLE,FL,32225,39,"$1,200.00","$1,400.00"
1420351,#REF!,1/2/18 0:00,1/9/18 0:00,CUT 1/5,40 HC,MAERSK,EXPORT,FINKSBURG,MD,21137,PHILADELPHIA,PA,19148,0,"$2,900.00","$3,000.00"
1421219,#REF!,1/2/18 0:00,1/3/18 0:00,ETA 12/31,20FT CONTAINER,COSCO,IMPORT,ROMEOVILLE,IL,60446,HARVEY,IL,60426,25,"$1,500.00","$1,700.00"
1421466,#REF!,2/1/18 0:00,2/6/18 0:00,CUT 2/7,40 HC,COSCO,EXPORT,AUSTIN,TX,78724,BARBOURS CUT,TX,77571,181,"$1,900.00","$2,100.00"
1421475,#REF!,2/1/18 0:00,2/5/18 0:00,CUT 2/7,40 HC,COSCO,EXPORT,AUSTIN,TX,78724,BARBOURS CUT,TX,77571,181,"$1,800.00","$2,000.00"
1421489,#REF!,2/5/18 0:00,2/6/18 0:00,CUT 2/7,40 HC,COSCO,EXPORT,AUSTIN,TX,78724,BARBOURS CUT,TX,77571,181,"$1,800.00","$1,900.00"
1421517,#REF!,2/1/18 0:00,2/5/18 0:00,CUT 2/7,40 HC,COSCO,EXPORT,AUSTIN,TX,78724,BARBOURS CUT,TX,77571,181,"$2,500.00","$2,600.00"
1421813,#REF!,1/13/18 0:00,1/16/18 0:00,cut 1/15,40 STD,HAPAG,EXPORT,CARTERSVILLE,GA,30121,GARDEN CITY,GA,31408,297,"$2,000.00","$2,300.00"
1422502,#REF!,1/2/18 0:00,1/5/18 0:00,ETA 12/19,40FT CONTAINER,HAPAG,IMPORT,SHEBOYGAN FALLS,WI,53085,CHICAGO,IL,60629,149,"$2,700.00","$3,200.00"
1422511,#REF!,1/2/18 0:00,1/3/18 0:00,ETA 12/19,40FT CONTAINER,HAPAG,IMPORT,SHEBOYGAN FALLS,WI,53085,CHICAGO,IL,60629,149,"$2,800.00","$3,300.00"
1422834,#REF!,1/3/18 0:00,1/3/18 0:00,ETA 12/22,20 STD,CMA,IMPORT,LEWISPORT,KY,42351,LOUISVILLE,KY,40214,95,"$2,500.00","$2,700.00"
1422842,#REF!,1/5/18 0:00,1/5/18 0:00,ETA 12/22,20 STD,CMA,IMPORT,LEWISPORT,KY,42351,LOUISVILLE,KY,40214,95,"$2,500.00","$2,600.00"
1422863,#REF!,1/9/18 0:00,1/11/18 0:00,eta 12/22,20 STD,CMA,IMPORT,LEWISPORT,KY,42351,LOUISVILLE,KY,40214,95,"$2,300.00","$2,500.00"
1422974,#REF!,1/23/18 0:00,1/23/18 0:00,CUT 1/25,40 HC,MAERSK,EXPORT,CHARLOTTE,NC,28205,CHARLESTON,SC,29413,0,"$1,400.00","$1,800.00"
1422992,#REF!,1/23/18 0:00,1/25/18 0:00,CUT 1/25,40 HC,MAERSK,EXPORT,CHARLOTTE,NC,28205,CHARLESTON,SC,29413,0,"$1,400.00","$1,800.00"
1423140,#REF!,1/15/18 0:00,1/17/18 0:00,CUT 1/19,40 HC,MSC,EXPORT,FROHNA,MO,63748,ST LOUIS,MO,63147,104,"$1,000.00","$1,300.00"
1423583,#REF!,1/15/18 0:00,1/17/18 0:00,CUT 1/19,40 HC,MSC,EXPORT,FROHNA,MO,63748,ST LOUIS,MO,63147,104,"$1,000.00","$1,300.00"
1423584,#REF!,1/15/18 0:00,1/17/18 0:00,CUT 1/19,40 HC,MSC,EXPORT,FROHNA,MO,63748,ST LOUIS,MO,63147,104,"$1,000.00","$1,300.00"
1423585,#REF!,1/15/18 0:00,1/17/18 0:00,CUT 1/19,40 HC,MSC,EXPORT,FROHNA,MO,63748,ST LOUIS,MO,63147,104,"$1,000.00","$1,300.00"
1423586,#REF!,1/15/18 0:00,1/17/18 0:00,CUT 1/19,40 HC,MSC,EXPORT,FROHNA,MO,63748,ST LOUIS,MO,63147,104,"$1,000.00","$1,300.00"
1423827,#REF!,1/4/18 0:00,1/11/18 0:00,ETA 12/30,40FT CONTAINER,KLINE,IMPORT,OTTAWA,KS,66067,KANSAS CITY,KS,64161,69,"$1,400.00","$2,300.00"
1423835,#REF!,1/9/18 0:00,1/10/18 0:00,LFD 1/11,40 HC,COSCO,IMPORT,TUCKER,GA,30084,AUSTELL,GA,30106,33,"$1,500.00","$1,500.00"
1424069,#REF!,1/2/18 0:00,1/2/18 0:00,ETA 12/19,40 HC,COSCO,IMPORT,HAGERSTOWN,MD,21740,LONG BEACH,CA,90802,2591,"$1,700.00","$14,500.00"
1424077,#REF!,1/2/18 0:00,1/2/18 0:00,ETA 12/19,40 HC,COSCO,IMPORT,BRENHAM,TX,77833,LONG BEACH,CA,90802,1472,"$2,300.00","$11,000.00"
1424104,#REF!,1/2/18 0:00,1/3/18 0:00,ETA 12/30,40FT REEFER,MSC,IMPORT,MEDLEY,FL,33178,FORT LAUDERDALE,FL,33301,34,$600.00,$800.00
1424325,#REF!,1/2/18 0:00,1/10/18 0:00,LFD 1/10,20FT CONTAINER,CMA,IMPORT,DALLAS,TX,75244,HASLET,TX,76052,46,$500.00,$600.00
1425085,#REF!,1/2/18 0:00,1/2/18 0:00,ETA 12/27,40 HC,YANG MING,IMPORT,KATY,TX,77494,SAN PEDRO,CA,90731,1531,"$1,900.00","$9,900.00"
1425663,#REF!,1/4/18 0:00,1/8/18 0:00,LFD 12/22,20 STD,NYK,IMPORT,ABBEVILLE,SC,29620,SAVANNAH,GA,31408,198,"$4,000.00","$5,300.00"
1425682,#REF!,1/4/18 0:00,1/19/18 0:00,LFD 01/22,20 STD,OOCL,IMPORT,KENT,WA,98032,SEATTLE,WA,98111,0,$900.00,"$1,100.00"
1425835,#REF!,1/18/18 0:00,1/19/18 0:00,CUT 1/29,20FT CONTAINER,HAMBURG SUD,EXPORT,"HYATTSVILLE,",MD,20781,BALTIMORE,MD,21224,38,"$1,700.00","$2,100.00"
1425952,#REF!,1/2/18 0:00,1/4/18 0:00,LFD 12/22,40FT CONTAINER,COSCO,IMPORT,PINE BROOK,NJ,7058,ELIZABETH,NJ,7201,23,$700.00,"$1,000.00"
1426046,#REF!,1/3/18 0:00,1/3/18 0:00,ETA 12/29,40 STD,MAERSK,IMPORT,PENSACOLA,FL,32514,MOBILE,AL,36603,59,$700.00,$800.00
1426057,#REF!,1/3/18 0:00,1/3/18 0:00,ETA 12/29,40 HC,MAERSK,IMPORT,PENSACOLA,FL,32514,MOBILE,AL,36603,59,$700.00,$800.00
1426068,#REF!,1/3/18 0:00,1/3/18 0:00,ETA 12/29,40 HC,MAERSK,IMPORT,PENSACOLA,FL,32514,MOBILE,AL,36603,59,$700.00,$800.00
1426187,#REF!,1/3/18 0:00,1/3/18 0:00,eta 12/29,20 STD,MAERSK,IMPORT,PENSACOLA,FL,32514,MOBILE,AL,36603,59,$700.00,$800.00
1426198,#REF!,1/4/18 0:00,1/5/18 0:00,LFD 1/08,40 Open Top,HAPAG LLOYD,IMPORT,SPARKS,NV,89434,OAKLAND,CA,94607,217,"$2,700.00","$2,900.00"
1426207,#REF!,1/4/18 0:00,1/5/18 0:00,LFD 1/08,40 Open Top,HAPAG LLOYD,IMPORT,SPARKS,NV,89434,OAKLAND,CA,94607,217,"$2,800.00","$3,200.00"
1426214,#REF!,1/3/18 0:00,1/3/18 0:00,ETA 12/29,20 STD,MAERSK,IMPORT,PENSACOLA,FL,32514,MOBILE,AL,36603,59,$700.00,$700.00
1426438,#REF!,1/9/18 0:00,1/10/18 0:00,CUT 1/13,40 HC,COSCO,EXPORT,CORRY,PA,16407,WILMERDING,PA,15148,141,"$1,800.00","$2,200.00"
1426439,#REF!,1/9/18 0:00,1/11/18 0:00,CUT 1/13,40 HC,COSCO,EXPORT,CORRY,PA,16407,WILMERDING,PA,15148,141,"$1,900.00","$2,200.00"
1426478,#REF!,1/29/18 0:00,2/5/18 0:00,CUT 2/4,40 HC,MSC,EXPORT,FROHNA,MO,63748,ST LOUIS,MO,63147,104,"$1,000.00","$1,300.00"
1426489,#REF!,1/22/18 0:00,1/24/18 0:00,CUT 1/26,40 HC,MSC,EXPORT,FROHNA,MO,63748,ST LOUIS,MO,63147,104,"$1,000.00","$1,300.00"
1426518,#REF!,1/22/18 0:00,1/26/18 0:00,CUT 1/26,40 HC,MSC,EXPORT,FROHNA,MO,63748,ST LOUIS,MO,63147,104,"$1,000.00","$1,300.00"
1426519,#REF!,1/22/18 0:00,1/26/18 0:00,CUT 1/26,40 HC,MSC,EXPORT,FROHNA,MO,63748,ST LOUIS,MO,63147,104,"$1,000.00","$1,300.00"
1426520,#REF!,1/22/18 0:00,1/26/18 0:00,CUT 1/26,40 HC,MSC,EXPORT,FROHNA,MO,63748,ST LOUIS,MO,63147,104,"$1,000.00","$1,300.00"
1426521,#REF!,1/22/18 0:00,1/26/18 0:00,CUT 1/26,40 HC,MSC,EXPORT,FROHNA,MO,63748,ST LOUIS,MO,63147,104,"$1,000.00","$1,300.00"
1426522,#REF!,1/22/18 0:00,1/26/18 0:00,CUT 1/26,40 HC,MSC,EXPORT,FROHNA,MO,63748,ST LOUIS,MO,63147,104,"$1,000.00","$1,300.00"
1426532,#REF!,1/29/18 0:00,2/5/18 0:00,CUT 2/4,40 HC,MSC,EXPORT,FROHNA,MO,63748,ST LOUIS,MO,63147,104,"$1,000.00","$1,300.00"
1426533,#REF!,1/29/18 0:00,2/5/18 0:00,CUT 2/4,40 HC,MSC,EXPORT,FROHNA,MO,63748,ST LOUIS,MO,63147,104,"$1,000.00","$1,300.00"
1426534,#REF!,1/29/18 0:00,2/5/18 0:00,CUT 2/4,40 HC,MSC,EXPORT,FROHNA,MO,63748,ST LOUIS,MO,63147,104,"$1,000.00","$1,300.00"
1426535,#REF!,1/29/18 0:00,2/5/18 0:00,CUT 2/4,40 HC,MSC,EXPORT,FROHNA,MO,63748,ST LOUIS,MO,63147,104,"$1,000.00","$1,300.00"
1426536,#REF!,1/29/18 0:00,2/5/18 0:00,CUT 2/4,40 HC,MSC,EXPORT,FROHNA,MO,63748,ST LOUIS,MO,63147,104,"$1,000.00","$1,300.00"
1427129,#REF!,1/12/18 0:00,1/15/18 0:00,ETA 12/23,40 STD,EVERGREEN,IMPORT,AUGUSTA,GA,30901,MOUNT PLEASANT,SC,29464,145,"$1,500.00","$1,700.00"
1427132,#REF!,1/12/18 0:00,1/15/18 0:00,ETA 12/23,40 STD,EVERGREEN,IMPORT,AUGUSTA,GA,30901,MOUNT PLEASANT,SC,29464,145,"$1,600.00","$1,800.00"
